"기준일ID","시군구코드","시군구명","총생활인구수","내국인생활인구수","장기체류외국인인구수","단기체류외국인인구수","일최대인구수","일최소인구수","주간인구수(09~18)","야간인구수(19~08)","일최대이동인구수","서울외유입인구수","동일자치구행정동간이동인구수","자치구간이동인구수"
"20190811","11200","성동구","328716.10450","313689.11340","13404.91350","1622.07760","342594.13230","318326.53410","322403.47150","333225.12810","142245.67930","23947.79040","65724.98500","52572.90390"
"20190811","11215","광진구","403210.36470","376603.53320","24633.77680","1973.05460","417743.87080","390253.74250","397870.50880","407024.54740","166376.09090","34749.72720","77204.91820","54421.44550"
"20190811","11230","동대문구","371746.21810","349736.11760","18742.14440","3267.95620","380557.97910","362606.95740","368900.77370","373778.67850","157666.48510","27378.93850","70660.96210","59626.58450"
"20190811","11260","중랑구","373316.00820","366837.37520","5998.61540","480.01760","395405.78450","346870.83000","356360.61480","385427.00340","145131.67270","26710.46730","86299.32290","32121.88250"
"20190811","11290","성북구","437853.11920","423565.03430","12136.14440","2151.94050","462610.41780","414059.83650","421632.41140","449439.33910","160713.98910","22377.62960","84344.03540","53992.32410"
"20190811","11305","강북구","317358.45290","311439.44020","5223.42680","695.58580","334916.23410","299105.66910","304166.45650","326781.30740","167451.24490","14337.21420","111877.47740","41236.55330"
"20190811","11320","도봉구","291245.72710","287823.25370","2938.99250","483.48080","301089.48120","276840.52240","283224.06220","296975.48770","129082.57580","19341.66080","73307.60660","36433.30840"
"20190811","11350","노원구","528814.61710","523083.30340","4954.69370","776.61990","552243.95760","506198.46930","512874.36530","540200.51120","200675.17630","33479.05650","117796.77390","49399.34590"
"20190811","11380","은평구","457603.93060","449055.69180","7083.39660","1464.84220","487697.54340","426593.53190","436264.08840","472846.67500","164167.82740","30299.49780","102306.70360","31561.62600"
"20190811","11410","서대문구","381091.71510","348275.55390","22517.67550","10298.48570","387198.11560","375823.25580","378432.25530","382991.32930","157088.53730","30238.12610","61980.42170","64869.98950"
"20190811","11440","마포구","486347.76870","446527.07620","22632.54810","17188.14440","518271.86610","459656.80790","492580.93490","481895.50720","221661.50760","52770.75460","79022.90110","89867.85190"
"20190811","11470","양천구","410002.30700","402911.35980","6037.42490","1053.52230","427232.54810","393639.95440","399152.88670","417751.89300","172081.64740","28296.01990","88722.22880","55063.39870"
"20190811","11500","강서구","550494.03490","533284.70400","10485.98980","6723.34110","572611.23570","528762.96630","536135.07740","560750.43320","213494.90670","51089.59000","114652.18630","47753.13040"
"20190811","11530","구로구","429244.40530","391033.68330","33885.30940","4325.41260","439452.94400","423236.01580","427440.97900","430532.56690","179916.67710","57867.81760","70451.98210","51596.87740"
"20190811","11545","금천구","219049.82080","198928.39320","18636.54360","1484.88400","224643.97680","211958.72950","216313.08900","221004.62920","99568.71460","29799.98260","43792.30160","25976.43040"
"20190811","11560","영등포구","486081.81630","434365.90260","44707.02380","7008.88990","527048.45590","453869.02920","512990.52630","466861.30920","253330.04330","65606.44030","82577.83740","105145.76560"
"20190811","11590","동작구","407718.28980","391545.37880","14370.19830","1802.71270","437941.68260","378200.89760","388845.13020","421199.11800","147153.36220","28322.36190","65211.42310","53619.57720"
"20190811","11620","관악구","525262.49940","499008.34320","24472.10280","1782.05340","556123.80230","493676.64100","504899.07500","539807.80250","197773.25530","36813.61300","108268.08000","52691.56230"
"20190811","11650","서초구","551281.07620","531601.83950","14617.87750","5061.35920","603759.48990","504428.01240","586602.21030","526051.69480","284786.81900","85569.42230","81950.97550","117266.42120"
"20190811","11680","강남구","722616.80440","687589.37550","18533.37670","16494.05230","800384.80650","665150.38570","773564.59320","686225.52670","356869.38780","102293.91800","106727.92930","147847.54050"
"20190811","11710","송파구","799094.26920","773382.48520","18679.95600","7031.82800","860653.83320","767162.45130","812617.51410","789434.80860","362190.12260","96592.28710","164811.01030","100786.82520"
"20190811","11740","강동구","496965.20040","486220.36330","9731.53910","1013.29800","519151.26610","476995.62500","483492.20020","506588.77190","208120.59020","43983.42550","127281.51700","36855.64770"
"20190810","11000","서울시","10937625.90950","10363231.92110","410838.64280","163555.34570","11038630.84270","10785383.77660","10983343.42320","10904970.54260","5016145.94110","1219901.61230","2004832.13070","1791412.19810"
"20190810","11110","종로구","292988.43390","264625.91740","15300.46410","13062.05230","367396.58090","240821.06370","341106.00240","258618.74210","200528.80470","59935.62200","29732.09510","110861.08760"
"20190810","11140","중구","299324.08240","232057.53130","21739.49080","45527.06030","382426.93080","235624.15180","353905.34590","260337.46570","207001.31360","60190.17260","28732.84230","118078.29870"
"20190810","11170","용산구","317318.27450","284922.85530","22406.59640","9988.82270","341394.51680","293997.25970","331921.44830","306887.43610","165026.25520","48695.58670","42213.23690","74117.43160"
"20190810","11200","성동구","335068.93240","319620.72080","13854.57710","1593.63450","344130.38560","322207.18710","332339.91380","337018.23140","153757.56790","29376.04240","60555.17860","63826.34690"
"20190810","11215","광진구","405673.24420","379300.64380","24262.15570","2110.44470","418965.25600","391587.29160","399374.42280","410172.40230","177206.10650","39791.57100","75911.14400","61503.39150"
"20190810","11230","동대문구","374262.00210","352350.64790","18595.64530","3315.70890","381237.98800","363264.60860","373226.53610","375001.62060","166583.06560","32810.76140","67873.13440","65899.16980"
"20190810","11260","중랑구","368335.77920","361736.66780","6018.69710","580.41440","396293.82830","337579.37550","347526.50550","383199.54620","145624.46710","27060.07810","83553.17570","35011.21330"
"20190810","11290","성북구","428569.32710","414445.15640","11956.58250","2167.58820","456877.36890","398369.02630","407577.66500","443563.37150","159744.40170","22333.05060","81057.60220","56353.74890"
"20190810","11305","강북구","309064.79560","303414.44450","5053.62790","596.72320","333260.90310","284113.30810","290298.00660","322469.64490","160919.75460","13616.41800","106622.77640","40680.56020"
"20190810","11320","도봉구","283969.48660","280644.02780","2928.01020","397.44870","300301.04200","263353.53600","271141.68910","293132.19920","125376.72400","18968.59700","70968.72540","35439.40160"
"20190810","11350","노원구","523518.28960","517777.99300","5000.18520","740.11150","547675.31500","498485.82730","505632.73050","536293.68900","206166.02410","35930.56890","116724.21130","53511.24390"
"20190810","11380","은평구","449410.91670","440894.57710","7237.61440","1278.72520","482931.19640","416058.09730","424728.43800","467041.25860","166814.30550","31232.05680","101651.38230","33930.86640"
"20190810","11410","서대문구","387042.90270","352891.89500","22995.11640","11155.89130","392764.29340","379637.46330","385753.99760","387963.54920","169331.45660","36237.88010","59355.45730","73738.11920"
"20190810","11440","마포구","498972.47350","459026.58360","23091.03150","16854.85840","537066.04260","466527.43900","509004.29080","491806.88970","248571.20960","67207.29790","76804.71820","104559.19350"
"20190810","11470","양천구","406395.22640","399219.06430","6147.40210","1028.75990","424702.38350","386905.92030","394199.44780","415106.49680","173889.79000","30091.07430","86350.54490","57448.17080"
"20190810","11500","강서구","543423.54860","526449.50290","10735.44860","6238.59720","570492.45830","514929.67420","525690.91100","556089.71830","216909.37420","54698.24180","111638.42120","50572.71120"
"20190810","11530","구로구","419908.36830","385404.89220","30194.35230","4309.12380","437498.96100","397995.36880","406693.41130","429347.62330","181999.65900","57973.84540","67984.38600","56041.42760"
"20190810","11545","금천구","219811.33900","201056.31080","17327.17420","1427.85400","226028.55700","215861.00770","217508.64260","221456.12210","103534.98390","32064.22820","42986.86850","28483.88720"
"20190810","11560","영등포구","491068.19670","442997.59640","41187.22180","6883.37850","522171.38630","464905.64820","508707.30000","478468.83720","258220.01150","69653.34780","80297.98460","108268.67910"
"20190810","11590","동작구","407498.51710","390556.20890","15046.74660","1895.56160","436083.68280","377969.52130","388446.56030","421107.05770","153379.87220","32060.84040","61873.54540","59445.48640"
"20190810","11620","관악구","514049.28590","489299.28950","23092.92130","1657.07510","553296.13520","475031.37160","486616.04330","533644.45920","196622.62010","36363.43450","105963.24820","54295.93740"
"20190810","11650","서초구","583383.93110","560652.23330","16988.21330","5743.48440","651739.77330","523848.02880","633380.66540","547671.97800","325321.95110","110855.39740","79331.77050","135134.78320"
"20190810","11680","강남구","784162.73810","745654.45060","20655.13530","17853.15220","905570.25980","682815.45270","867167.24430","724873.80510","441651.51530","138320.29640","110523.27760","192807.94130"
"20190810","11710","송파구","805391.45300","780530.71620","18786.00130","6074.73540","852024.75570","774211.67580","814180.52590","799113.54380","383543.75870","113655.31390","160486.00910","109402.43570"
"20190810","11740","강동구","489014.36500","477701.99440","10238.23150","1074.13910","516780.94240","459448.63920","467215.67920","504584.85490","206851.01310","45070.24880","123302.99160","38477.77270"
"20190809","11000","서울시","11342552.64270","10763756.47730","414506.58180","164289.58360","11687232.28400","11006549.55590","11630656.34630","11136764.28290","6208900.58520","1543642.61700","2110793.46580","2554464.50240"
